"","Gene","reg_within","reg_between","targ_within","targ_between"
"608","nurse_LOC105831913",0.769388568950668,0.0774973718482399,0.704067364820604,0.0865101208113656
"609","nurse_LOC105833924",0.437228641561456,0.0965670504143617,0.641988294247584,0.132487122606468
"610","nurse_LOC105834183",1.04021223675284,0.0900318953528345,0.734561167062305,0.0851450187185919
"611","nurse_LOC105836490",0.882864523674012,0.0953361223708569,0.722439925713606,0.0887457550167057
"612","nurse_LOC105835271",0.793084529860402,0.166691189626945,0.559858085903376,0.253337799801752
"613","nurse_LOC105838300",0.916711146158442,0.097823527079116,0.74177695886673,0.0839114034083989
"614","nurse_LOC105835612",0.525165335747738,0.121526392287464,0.609520119793012,0.16417785829316
"615","nurse_LOC105834082",0.597746383897141,0.121267330232608,0.632702845749772,0.15702718285314
"616","nurse_LOC105831779",0.47814163928415,0.0866631723092687,0.596672766549211,0.157815216349936
"617","nurse_LOC105834573",0.550257097104535,0.146959920006217,0.498873632167502,0.267839695482875
"618","nurse_LOC105838419",0.920298442776416,0.0733740974652619,0.744553898680259,0.0836179882632921
"619","nurse_LOC105832481",0.526841109502586,0.112963351516173,0.643018092349593,0.145025099626895
"620","nurse_LOC105833847",0.522287634523141,0.0656611547793671,0.641533739479136,0.106320268924114
"621","nurse_LOC105831203",0.744125826204927,0.0842411758929497,0.667065717854453,0.121080488674466
"622","nurse_LOC105837799",0.672267204269729,0.109850378703692,0.694211300669313,0.105792287875793
"623","nurse_LOC105835501",0.397254829025872,0.0880171393503492,0.513407819976918,0.190747861198906
"624","nurse_LOC105832362",1.08132733659353,0.0881273253441037,0.72558070920026,0.105457001848451
"625","nurse_LOC105841162",0.344965477506789,0.153663764779286,0.487301097476351,0.241204098584937
"626","nurse_LOC105836218",0.876612639082918,0.106327247908294,0.696277321103339,0.0969987855334566
"627","nurse_LOC105833792",0.646591795272545,0.0715490552541992,0.647438431814982,0.118646435745112
"628","nurse_LOC105840161",1.19881591572112,0.07145548698613,0.78720550508966,0.0598818510497665
"629","nurse_LOC105830803",0.512248943926148,0.113792235966166,0.610593262256071,0.156523251521146
"630","nurse_LOC105834759",0.665634491177487,0.141600463818549,0.607040240878683,0.185819007055501
"631","nurse_LOC105831988",0.951178095665111,0.0968169390971203,0.708924871743005,0.118163961435618
"632","nurse_LOC105834408",0.782757659068289,0.103628792955977,0.702124330854731,0.0867590757277994
"633","nurse_LOC105836538",0.303578252641681,0.201484083562089,0.319382994550489,0.442541267446149
"634","nurse_LOC105835983",0.37640453615283,0.162564207127786,0.412779349941521,0.357238397499699
"635","nurse_LOC105836205",0.325583340024031,0.105948515600492,0.465322960484409,0.223187407494887
"636","nurse_LOC105840897",0.764599805166724,0.107416438168747,0.699640205879277,0.116155382706758
"637","nurse_LOC105832169",0.899647529919693,0.074349887723946,0.697873448323719,0.0936300206477554
"638","nurse_LOC105834059",0.776164694847052,0.11257118232248,0.690521017827479,0.130132034006492
"639","nurse_LOC105838083",0.675033816802502,0.0999705282647638,0.670728933558501,0.103491367936744
"640","nurse_LOC105836127",1.09186203306607,0.124661028285696,0.716460149027885,0.116603743256989
"641","nurse_LOC105828505",0.728985887199125,0.122586741939387,0.683249669237625,0.109412623166969
"642","nurse_LOC105831946",0.426575863221461,0.112144014206779,0.591081652758365,0.166899532298996
"643","nurse_LOC105827790",0.78317688616855,0.119881884552835,0.67564270015015,0.148913542785443
"644","nurse_LOC105838659",0.85291046674681,0.107615107641927,0.723980164117597,0.0951976463684371
"645","nurse_LOC105827808",0.25874213922886,0.104439605678996,0.428542204807828,0.290471974126517
"646","nurse_LOC105839197",0.748652341243691,0.132197682813827,0.604931222483563,0.198038060733572
"647","nurse_LOC105836595",0.477221537806151,0.220215255841523,0.573738430341005,0.217708182604354
"648","nurse_LOC105835928",0.921665863216729,0.0890126127673107,0.769390200055181,0.0684475462022051
"649","nurse_LOC105829574",0.367277830478236,0.0975244702836187,0.516905096747185,0.155846876368882
"650","nurse_LOC105835281",0.224574806162881,0.254306568868641,0.257929813889679,0.490637700775041
"651","nurse_LOC105837969",0.963868969965438,0.116386184351542,0.730160533168859,0.092963123951355
"652","nurse_LOC105830496",0.897086421820132,0.128680935625091,0.658275085130467,0.165938910480839
"653","nurse_LOC105838735",1.087661242743,0.117026687905869,0.760143188354851,0.0765777174334116
"654","nurse_LOC105828372",0.45092608255778,0.156798868477744,0.501476032408612,0.276210867991311
"655","nurse_LOC105837132",0.958870292874208,0.125878439912725,0.737528299665025,0.0883323325092697
"656","nurse_LOC105834292",0.534173309550087,0.0865237651441359,0.638546213195347,0.127890619137931
"657","nurse_LOC105840385",0.887747622302352,0.131686227260576,0.714107361038834,0.108865751272439
"658","nurse_LOC105832035",0.248811149341757,0.202475910043889,0.378891376828718,0.341527294475042
"659","nurse_LOC105838064",0.300724956673253,0.184161991924728,0.348856445946511,0.407595876191779
"660","nurse_LOC105835256",0.278564663045113,0.204657062473706,0.353786809207658,0.388872204033129
"661","nurse_LOC105832943",0.324914568654373,0.162739291532595,0.455482187939316,0.292590564564791
"662","nurse_LOC105833185",0.799388755734161,0.119338785526265,0.68644264772615,0.107241765125402
"663","nurse_LOC105828512",0.945184192681506,0.0876096782366547,0.722211492920396,0.108336090138115
"664","nurse_LOC105840922",0.231810313882773,0.0842978447315958,0.404929649281682,0.203570724383299
"665","nurse_LOC105833739",0.469109426756986,0.086645924418891,0.590163801089775,0.152844244635528
"666","nurse_LOC105836064",0.356956332386769,0.136806159219851,0.450069783894037,0.296229485082341
"667","nurse_LOC105833221",0.343186375903801,0.322791991114197,0.270153014866078,0.533400484019744
