"Gene","differential expression tissue","differential expression P-value","used in regulatory network reconstruction?","estimated regulatory direction","social connectivity","phylostrata category","SwissProt ID","constraint"
"LOC105829667",NA,NA,0.000511287037931217,NA,NA,"worker larva","no","307658:0041c1"
"LOC105829668",NA,NA,0.00184365311185331,NA,NA,"worker larva","no","307658:0024ae"
"LOC105829669","nurse head → larva","CH",0.010647987712231,"nurse",0.105448931296624,"nurse head","yes","307658:001bcf"
"LOC105829669",NA,NA,1.4712113430561e-13,NA,NA,"worker larva","no","307658:001bcf"
"LOC105829670",NA,NA,2.41451933429668e-13,NA,NA,"worker larva","no","307658:0000c9"
"LOC105829673","nurse head → larva","CH",0.00172255200974691,"nurse",0.0924601599988246,"nurse head","yes","307658:00373d"
"LOC105829673",NA,NA,2.68644220581894e-07,NA,NA,"worker larva","no","307658:00373d"
"LOC105829674",NA,NA,0.000113136700299738,NA,NA,"worker larva","no","307658:0004e3"
"LOC105829676",NA,NA,3.82573614295398e-12,NA,NA,"worker larva","no","307658:0022ab"
"LOC105829677","nurse abdomen → larva","CG",0.0206819123959709,"nurse",0.0899448552909328,"nurse abdomen","yes","307658:00354c"
"LOC105829677","nurse head → larva","CH",0.000155801670100757,"nurse",0.15730784286639,"nurse head","yes","307658:00354c"
"LOC105829677",NA,NA,0.00022743031015211,NA,NA,"worker larva","no","307658:00354c"
"LOC105829678",NA,NA,3.48059101635614e-05,NA,NA,"worker larva","no","307658:0014c9"
"LOC105829679",NA,NA,1.62108806214222e-06,NA,NA,"worker larva","no",NA
"LOC105829679","nurse abdomen → larva","CG",0.0169696250138973,"nurse",0.0744377149438982,"nurse abdomen","yes",NA
"LOC105829680","larva → nurse head","CH",7.69647780931803e-61,"larv",0.146426470000466,"worker larva","yes","307658:000315"
"LOC105829680","larva → nurse abdomen","CG",7.69647780931803e-61,"larv",0.207693675726277,"worker larva","yes","307658:000315"
"LOC105829681",NA,NA,1.16524389824584e-08,NA,NA,"worker larva","no","307658:002071"
"LOC105829682",NA,NA,1.94210289764611e-08,NA,NA,"worker larva","no","307658:002072"
"LOC105829683","larva → nurse abdomen","CG",1.20283442925121e-56,"larv",0.185171790672487,"worker larva","yes","307658:0048f2"
"LOC105829683","larva → nurse head","CH",1.20283442925121e-56,"larv",0.152828415667136,"worker larva","yes","307658:0048f2"
"LOC105829684","larva → nurse abdomen","CG",9.02042868535319e-26,"larv",0.216657542669293,"worker larva","yes","307658:000398"
"LOC105829684","larva → nurse head","CH",9.02042868535319e-26,"larv",0.206195495478875,"worker larva","yes","307658:000398"
"LOC105829685",NA,NA,2.47591306444184e-05,NA,NA,"worker larva","no","307658:004171"
"LOC105829686","larva → nurse head","CH",1.80139197140278e-20,"larv",0.276776060888685,"worker larva","yes","307658:002215"
"LOC105829686","larva → nurse abdomen","CG",1.80139197140278e-20,"larv",0.196398333165353,"worker larva","yes","307658:002215"
"LOC105829686","nurse head → larva","CH",6.53922949014207e-06,"nurse",0.104652282087201,"nurse head","yes","307658:002215"
"LOC105829687",NA,NA,0.0139520918665616,NA,NA,"worker larva","no","307658:00182c"
"LOC105829688",NA,NA,3.40867928110165e-06,NA,NA,"worker larva","no","307658:003196"
"LOC105829690",NA,NA,1.74830776146175e-06,NA,NA,"worker larva","no","307658:0039fd"
"LOC105829691","larva → nurse abdomen","CG",3.48598621216137e-115,"larv",0.149469267252033,"worker larva","yes","307658:0039fe"
"LOC105829691","larva → nurse head","CH",3.48598621216137e-115,"larv",0.168112066284552,"worker larva","yes","307658:0039fe"
"LOC105829692",NA,NA,0.000111310250436648,NA,NA,"worker larva","no","307658:004eb8"
"LOC105829694",NA,NA,3.20545629698028e-09,NA,NA,"worker larva","no","307658:00354d"
"LOC105829694","nurse head → larva","CH",0.00168140043019004,"nurse",0.116792951584038,"nurse head","yes","307658:00354d"
"LOC105829695",NA,NA,0.0155139331616548,NA,NA,"worker larva","no","307658:00080d"
"LOC105829699",NA,NA,0.00105378977440978,NA,NA,"worker larva","no","307658:0022fa"
"LOC105829700",NA,NA,0.00262111690842528,NA,NA,"worker larva","no","307658:0024b4"
"LOC105829703","larva → nurse abdomen","CG",2.8479734130987e-36,"larv",0.279234595379134,"worker larva","yes","307658:001a6a"
"LOC105829703","larva → nurse head","CH",2.8479734130987e-36,"larv",0.216177548232825,"worker larva","yes","307658:001a6a"
"LOC105829705",NA,NA,1.27578623106247e-08,NA,NA,"worker larva","no","307658:000b14"
"LOC105829706",NA,NA,3.80361509241817e-12,NA,NA,"worker larva","no","307658:001f72"
"LOC105829708","larva → nurse head","CH",2.12478313602585e-49,"larv",0.189259717899314,"worker larva","yes",NA
"LOC105829708","larva → nurse abdomen","CG",2.12478313602585e-49,"larv",0.244546944844688,"worker larva","yes",NA
"LOC105829709",NA,NA,0.0100468731691242,NA,NA,"worker larva","no","307658:004624"
"LOC105829709","nurse abdomen → larva","CG",0.016618382874831,"nurse",0.114932986815898,"nurse abdomen","yes","307658:004624"
"LOC105829710","nurse head → larva","CH",0.000203934048509476,"nurse",0.148909954519232,"nurse head","yes",NA
"LOC105829710",NA,NA,0.00012385121886096,NA,NA,"worker larva","no",NA
"LOC105829713",NA,NA,0.0106445314812475,NA,NA,"worker larva","no","307658:00354f"
"LOC105829714",NA,NA,8.95684622324769e-16,NA,NA,"worker larva","no","307658:004e39"
"LOC105829715",NA,NA,0.0258402840284566,NA,NA,"worker larva","no","307658:00403f"
"LOC105829716",NA,NA,0.00047441227777629,NA,NA,"worker larva","no","307658:004040"
"LOC105829718",NA,NA,8.68326357847163e-19,NA,NA,"worker larva","no","307658:004d69"
"LOC105829719",NA,NA,0.00520031522279051,NA,NA,"worker larva","no","307658:0044e8"
"LOC105829720","nurse head → larva","CH",0.00224022389097043,"nurse",0.195345170803259,"nurse head","yes",NA
"LOC105829720",NA,NA,5.80656227165855e-06,NA,NA,"worker larva","no",NA
"LOC105829721",NA,NA,1.34004930475201e-08,NA,NA,"worker larva","no",NA
"LOC105829722","nurse head → larva","CH",0.000979154308512832,"nurse",0.129303059896121,"nurse head","yes","307658:004934"
"LOC105829722",NA,NA,0.00435788810138131,NA,NA,"worker larva","no","307658:004934"
"LOC105829724",NA,NA,0.0189261409025755,NA,NA,"nurse head","no","307658:004704"
"LOC105829724",NA,NA,1.42145947646752e-09,NA,NA,"worker larva","no","307658:004704"
"LOC105829729",NA,NA,0.000180174952833858,NA,NA,"worker larva","no",NA
"LOC105829729",NA,NA,0.0358209183188865,NA,NA,"nurse head","no",NA
"LOC105829730",NA,NA,7.22146449537963e-07,NA,NA,"worker larva","no","307658:002a81"
"LOC105829730","nurse abdomen → larva","CG",0.0132463513393409,"nurse",0.101681858974298,"nurse abdomen","yes","307658:002a81"
"LOC105829731",NA,NA,0.0417312026991389,NA,NA,"nurse abdomen","no","307658:0046c4"
"LOC105829731",NA,NA,0.000441766583336899,NA,NA,"worker larva","no","307658:0046c4"
"LOC105829732",NA,NA,3.29590057326006e-11,NA,NA,"worker larva","no","307658:004ffa"
"LOC105829732","nurse head → larva","CH",4.08105245615139e-05,"nurse",0.0980589235430084,"nurse head","yes","307658:004ffa"
"LOC105829733",NA,NA,1.50723467479237e-07,NA,NA,"worker larva","no","307658:0041f5"
"LOC105829733","nurse abdomen → larva","CG",0.0114195402670812,"nurse",0.0925415023683906,"nurse abdomen","yes","307658:0041f5"
"LOC105829734",NA,NA,2.25520277178058e-15,NA,NA,"worker larva","no","307658:00394f"
"LOC105829735","larva → nurse abdomen","CG",5.82331730061068e-30,"larv",0.154950931942418,"worker larva","yes",NA
"LOC105829735","larva → nurse head","CH",5.82331730061068e-30,"larv",0.218983833248007,"worker larva","yes",NA
"LOC105829736",NA,NA,2.00751964348836e-35,NA,NA,"worker larva","no",NA
"LOC105829736",NA,NA,0.0355771666948406,NA,NA,"nurse abdomen","no",NA
"LOC105829737",NA,NA,0.00271332332522597,NA,NA,"worker larva","no","307658:00084d"
"LOC105829738","nurse abdomen → larva","CG",0.0238604531844777,"nurse",0.0917884818478618,"nurse abdomen","yes","307658:002136"
"LOC105829738",NA,NA,0.00153241703676963,NA,NA,"worker larva","no","307658:002136"
"LOC105829739",NA,NA,1.35360477033827e-12,NA,NA,"worker larva","no","307658:004d05"
"LOC105829740",NA,NA,0.00603978434048483,NA,NA,"worker larva","no","307658:003f61"
"LOC105829740",NA,NA,0.0255960497015159,NA,NA,"nurse head","no","307658:003f61"
"LOC105829743",NA,NA,2.21649025125586e-07,NA,NA,"worker larva","no","307658:00454a"
"LOC105829744",NA,NA,3.30768080489635e-08,NA,NA,"worker larva","no","307658:0046ba"
"LOC105829746",NA,NA,2.85420540573278e-06,NA,NA,"worker larva","no","307658:0046bc"
"LOC105829747",NA,NA,0.00176326891454902,NA,NA,"worker larva","no","307658:0028f9"
"LOC105829748","nurse abdomen → larva","CG",0.0109095194749626,"nurse",0.0894617210764317,"nurse abdomen","yes","307658:003f04"
"LOC105829748",NA,NA,0.00301792833747758,NA,NA,"worker larva","no","307658:003f04"
"LOC105829749",NA,NA,9.96344240581606e-08,NA,NA,"worker larva","no","307658:003f05"
"LOC105829749","nurse head → larva","CH",3.4351398948763e-05,"nurse",0.175366603502116,"nurse head","yes","307658:003f05"
"LOC105829750",NA,NA,0.0103135821372866,NA,NA,"worker larva","no","307658:004394"
"LOC105829751",NA,NA,9.38551073368957e-07,NA,NA,"worker larva","no","307658:004412"
"LOC105829752","nurse head → larva","CH",0.000958342870564324,"nurse",0.131870244515388,"nurse head","yes","307658:0044e9"
"LOC105829753",NA,NA,1.31913143115074e-06,NA,NA,"worker larva","no","307658:00447f"
"LOC105829754","nurse head → larva","CH",0.000273845031104585,"nurse",0.14170399122289,"nurse head","yes","307658:0046a5"
"LOC105829755","larva → nurse head","CH",6.11554374993783e-26,"larv",0.186116542497277,"worker larva","yes","307658:004ca8"
